r.px, i
0,7.50211
1,7.38232
2,8.00139
3,8.2485
4,7.95731
5,8.82434
6,9.56596
7,8.82594
8,8.38876
9,8.34813
10,8.2237
11,8.51657
12,8.97181
13,9.47087
14,10.0479
15,10.4206
16,10.7409
17,11.2858
18,12.1468
19,13.1122
20,13.8265
21,14.8232
22,16.1924
23,17.8539
24,19.8083
25,21.8849
26,23.7743
27,26.542
28,30.6829
29,37.1014
30,48.1886
31,67.3501
32,101.303
33,162.336
34,269.961
35,452.346
36,742.078
37,1152.4
38,1656.4
39,2190.64
40,2684.92
41,3086.68
42,3381.84
43,3578.55
44,3700.56
45,3776.04
46,3821.8
47,3852.99
48,3890.51
49,3931.56
50,3977.3
51,4016.07
52,4038.37
53,4028
54,3998.66
55,3960.92
56,3907.56
57,3847.33
58,3785.16
59,3716.13
60,3644.24
61,3569.91
62,3502.99
63,3438.95
64,3382.21
65,3322.08
66,3259.68
67,3196.2
68,3130.52
69,3063.15
70,3000.56
71,2940.53
72,2877.45
73,2815.35
74,2758.66
75,2705.9
76,2655.57
77,2608.28
78,2563.17
79,2515.84
80,2466.63
81,2425.71
82,2386.57
83,2342.96
84,2294.42
85,2244.72
86,2197.6
87,2156.41
88,2119.2
89,2083.18
90,2051
91,2018.93
92,1982.89
93,1946.98
94,1912.38
95,1880.27
96,1846.93
97,1814.71
98,1784.81
99,1755.78
100,1731.63
101,1707.17
102,1681.92
103,1657.11
104,1632.54
105,1606.15
106,1580.77
107,1556.11
108,1529.21
109,1503.1
110,1481.34
111,1462.17
112,1443.63
113,1423.02
114,1400.42
115,1379.58
116,1361.12
117,1343.51
118,1324.86
119,1305.88
120,1287.21
121,1268.89
122,1252.16
123,1238.66
124,1226.6
125,1211.8
126,1196.88
127,1184.3
128,1169.73
129,1152.86
130,1137.26
131,1122.19
132,1108.17
133,1093.79
134,1079.52
135,1065.8
136,1051.64
137,1036.3
138,1022.09
139,1010
140,1002.56
141,996.934
142,988.255
143,976.108
144,963.462
145,951.817
146,941.368
147,932.046
148,923.482
149,914.437
150,904.15
151,894.018
152,884.144
153,873.311
154,863.444
155,855.663
156,846.708
157,836.802
158,826.369
159,817.169
160,808.398
161,801.857
162,796.96
163,792.325
164,786.293
165,779.437
166,773.007
167,767.516
168,760.809
169,751.944
170,742.078
171,733.392
172,724.615
173,717.652
174,711.83
175,706.538
176,701.225
177,694.969
178,688.56
179,681.871
180,675.259
181,669.723
182,666.546
183,661.513
184,657.263
185,652.639
186,647.82
187,641.083
188,635.191
189,628.495
190,621.765
191,615.702
192,612.943
193,609.225
194,603.657
195,597.443
196,591.095
197,586.345
198,581.681
199,575.963
200,571.815
201,568.913
202,565.475
203,561.465
204,557.185
205,553.367
206,548.822
207,543.895
208,539.431
209,534.855
210,529.893
211,525.546
212,522.667
213,522.063
214,519.165
215,515.072
216,510.8
217,506.19
218,500.398
219,495.406
220,492.971
221,491.301
222,488.116
223,484.347
224,481.923
225,478.952
226,475.565
227,470.842
228,466.705
229,464.428
230,462.04
231,458.878
232,455.459
233,452.034
234,448.257
235,444.611
236,441.281
237,438.594
238,436.458
239,433.636
240,430.71
241,427.561
242,424.525
243,421.789
244,419.039
245,415.555
246,412.231
247,409.766
248,407.821
249,405.435
250,402.745
251,400.346
252,397.686
253,395.139
254,393.225
255,391.809
256,390.387
257,388.968
258,387.417
259,385.676
260,382.707
261,380.026
262,378.388
263,376.347
264,373.84
265,370.099
266,366.37
267,362.766
268,359.996
269,358.176
270,357.034
271,355.879
272,353.51
273,350.774
274,348.797
275,346.652
276,344.641
277,343.711
278,343.357
279,340.945
280,338.231
281,336.423
282,335.307
283,334.423
284,333.075
285,331.489
286,330.024
287,329.107
288,328.503
289,326.752
290,324.763
291,323.41
292,322.792
293,321.626
294,319.676
295,317.26
296,314.954
297,313.588
298,312.469
299,311.972
300,311.23
301,310.574
302,309.984
303,308.551
304,306.173
305,305.006
306,305.007
307,305.145
308,304.298
309,302.885
310,301.327
311,300.769
312,301.223
313,302.391
314,304.129
315,305.277
316,304.991
317,304.362
318,304.328
319,303.669
320,304.068
321,305.247
322,306.198
323,308.131
324,311.865
325,316.627
326,323.386
327,332.901
328,346.745
329,369.028
330,400.243
331,444.027
332,502.725
333,578.044
334,667.24
335,758.042
336,822.591
337,839.794
338,804.752
339,731.06
340,634.147
341,536.365
342,455.203
343,396.147
344,354.055
345,324.136
346,304.542
347,291.035
348,280.828
349,272.857
350,266.043
351,262.161
352,258.863
353,255.775
354,253.127
355,250.44
356,248.075
357,246.458
358,245.21
359,244.089
360,242.968
361,241.406
362,240.106
363,238.559
364,236.645
365,236.08
366,235.637
367,234.431
368,233.368
369,232.607
370,231.93
371,230.306
372,229.181
373,228.307
374,227.324
375,226.465
376,226.449
377,226.876
378,228.092
379,229.689
380,231.782
381,235.377
382,240.79
383,248.922
384,259.949
385,274.349
386,291.137
387,307.383
388,321.064
389,327.532
390,324.351
391,310.437
392,290.592
393,268.281
394,247.631
395,230.779
396,218.284
397,209.631
398,203.547
399,199.254
400,196.143
401,193.558
402,191.41
403,189.169
404,187.531
405,186.191
406,184.819
407,182.61
408,180.757
409,179.062
410,177.276
411,176.066
412,175.436
413,174.737
414,174.224
415,173.361
416,171.1
417,169.301
418,168.571
419,168.706
420,168.317
421,166.755
422,164.512
423,162.617
424,161.331
425,160.272
426,159.029
427,158.127
428,157.227
429,155.756
430,154.524
431,153.854
432,153.198
433,152.262
434,151.378
435,150.081
436,149.203
437,148.344
438,146.771
439,145.622
440,145.033
441,144.736
442,143.658
443,143.092
444,142.973
445,143.26
446,143.01
447,142.211
448,140.65
449,139.759
450,139.146
451,138.361
452,138.4
453,138.275
454,137.099
455,136.114
456,135.358
457,135.027
458,134.17
459,133.598
460,133.246
461,132.611
462,132.175
463,131.983
464,131.146
465,129.516
466,128.657
467,129.008
468,130.189
469,130.847
470,130.16
471,129.581
472,128.793
473,127.787
474,127.131
475,127.176
476,127.58
477,127.515
478,126.833
479,126.152
480,126.143
481,125.666
482,125.195
483,124.332
484,123.555
485,123.873
486,124.432
487,124.071
488,123.233
489,123.1
490,123.352
491,123.368
492,122.933
493,122.385
494,121.676
495,121.418
496,121.979
497,122.426
498,122.846
499,122.788
500,122.561
501,122.269
502,122.286
503,122.533
504,122.318
505,122.112
506,122.509
507,123.02
508,123.237
509,122.891
510,122.59
511,122.735
512,123.422
513,123.514
514,123.534
515,124.301
516,124.79
517,125.023
518,125.509
519,125.86
520,126.364
521,127.457
522,128.503
523,129.355
524,129.317
525,129.189
526,130.067
527,131.742
528,133.086
529,134.984
530,136.606
531,137.965
532,139.922
533,142.727
534,146.059
535,148.945
536,151.588
537,154.841
538,160.476
539,168.761
540,180.149
541,196.988
542,222.18
543,260.089
544,318.07
545,404.239
546,527.488
547,692.087
548,884.098
549,1055.77
550,1153.91
551,1140.41
552,1025.6
553,861.328
554,693.566
555,543.958
556,427.217
557,343.889
558,286.669
559,247.691
560,221.735
561,205.966
562,195.894
563,189.951
564,186.952
565,184.662
566,182.042
567,178.298
568,174.114
569,168.592
570,162.804
571,156.705
572,150.933
573,145.513
574,140.583
575,136.246
576,132.731
577,129.994
578,126.97
579,123.928
580,121.312
581,118.996
582,117.15
583,115.378
584,113.404
585,111.602
586,110.419
587,109.502
588,108.541
589,107.611
590,106.658
591,105.829
592,105.718
593,105.973
594,105.45
595,104.03
596,102.947
597,102.261
598,101.885
599,101.686
600,100.942
601,99.9522
602,99.0497
603,97.8752
604,97.1655
605,97.2691
606,97.4504
607,97.0741
608,96.239
609,95.6476
610,95.1738
611,94.9221
612,95.0526
613,95.0496
614,94.9704
615,94.6972
616,94.8311
617,95.1748
618,94.5733
619,93.931
620,94.052
621,93.9162
622,93.6667
623,93.7243
624,93.436
625,93.4032
626,93.8563
627,93.9205
628,93.4775
629,93.0424
630,93.1421
631,93.964
632,95.0939
633,96.4227
634,97.5772
635,99.605
636,102.395
637,105.828
638,111.912
639,121.589
640,134.864
641,152.585
642,176.358
643,203.06
644,225.964
645,238.7
646,237.284
647,223.494
648,201.822
649,177.082
650,153.931
651,135.339
652,121.122
653,110.692
654,103.337
655,97.9199
656,94.1198
657,91.557
658,89.8279
659,88.1933
660,86.5832
661,85.0655
662,84.0782
663,83.6418
664,83.8322
665,84.1502
666,84.6854
667,84.8373
668,84.9895
669,85.2172
670,86.1844
671,88.3031
672,90.148
673,91.6323
674,92.124
675,92.2084
676,90.8148
677,88.2467
678,85.006
679,82.186
680,80.1093
681,78.5956
682,77.1692
683,75.9195
684,74.5595
685,73.4138
686,72.6335
687,71.7581
688,71.0726
689,70.5585
