r.px, i
0,2.94872
1,3.46177
2,4.94373
3,5.03216
4,4.49962
5,4.27021
6,4.53117
7,4.93549
8,5.38445
9,4.87017
10,4.71099
11,4.92656
12,4.56238
13,4.67243
14,4.918
15,4.90806
16,5.08737
17,5.39301
18,5.61018
19,5.45676
20,5.2385
21,5.56003
22,5.37992
23,5.31265
24,6.14167
25,6.29988
26,5.8555
27,5.39453
28,5.10957
29,5.23631
30,5.61032
31,5.87598
32,6.30088
33,6.5628
34,6.59622
35,6.57275
36,6.48741
37,6.07797
38,6.02384
39,6.04453
40,6.35742
41,6.58486
42,6.82123
43,6.89584
44,6.7556
45,6.90081
46,7.18561
47,7.30913
48,7.69888
49,7.87076
50,8.01782
51,8.08242
52,8.49754
53,8.91566
54,9.24935
55,9.42242
56,9.88029
57,10.0839
58,10.3109
59,10.7132
60,11.2128
61,11.7009
62,12.134
63,12.8926
64,13.6691
65,14.5642
66,15.4388
67,16.6266
68,17.8263
69,19.353
70,21.3037
71,23.4507
72,25.3853
73,27.5299
74,30.6449
75,34.9256
76,40.9364
77,50.1891
78,65.1177
79,90.4983
80,135.751
81,213.728
82,349.484
83,578.648
84,913.981
85,1353.42
86,1859.24
87,2363.52
88,2825.69
89,3230.21
90,3585.93
91,3906.56
92,4216.11
93,4539.45
94,4910.26
95,5345.23
96,5823.24
97,6309.95
98,6775.97
99,7196.69
100,7565.36
101,7885.24
102,8156.08
103,8381.08
104,8570.29
105,8734.47
106,8877.52
107,8999.69
108,9110.77
109,9205.04
110,9281.85
111,9343.6
112,9401.48
113,9458.35
114,9512.43
115,9559.21
116,9595.59
117,9623.98
118,9637.87
119,9645.14
120,9650.41
121,9651.96
122,9653.72
123,9665.68
124,9678.02
125,9682.76
126,9675.73
127,9668.01
128,9656.14
129,9634.45
130,9607.33
131,9573.12
132,9530.48
133,9489.78
134,9455.06
135,9421
136,9383.13
137,9338.34
138,9288.07
139,9235.33
140,9185.1
141,9140.01
142,9101.96
143,9061.71
144,9013.06
145,8964.11
146,8915.22
147,8856.52
148,8790.29
149,8728.66
150,8670
151,8613.71
152,8555.47
153,8494.95
154,8434.03
155,8374.81
156,8322.47
157,8270.3
158,8212.08
159,8144.59
160,8077.7
161,8016.34
162,7959.97
163,7903.15
164,7845.17
165,7781.23
166,7719.92
167,7666.92
168,7613.81
169,7555.89
170,7493.33
171,7432.31
172,7373.85
173,7327.9
174,7284.96
175,7239.16
176,7185.8
177,7131.56
178,7078.55
179,7025.51
180,6980.85
181,6933.47
182,6880.33
183,6828.64
184,6786.62
185,6753.28
186,6726.82
187,6706.9
188,6691.9
189,6684.27
190,6677.54
191,6660.11
192,6638.86
193,6617.47
194,6592.84
195,6564.51
196,6534.45
197,6504.13
198,6477.74
199,6456.78
200,6435.35
201,6407.02
202,6359.02
203,6299.94
204,6236.35
205,6181
206,6121.75
207,6062.87
208,6006.11
209,5946.36
210,5887.8
211,5837.78
212,5788.39
213,5739.26
214,5690.08
215,5639.77
216,5591.71
217,5548.5
218,5501.89
219,5459.4
220,5422.08
221,5389.24
222,5350.24
223,5304.39
224,5256.23
225,5214.85
226,5175.18
227,5136.12
228,5098.58
229,5063.75
230,5029.13
231,4992.08
232,4957.54
233,4927.06
234,4898.36
235,4872.25
236,4841.7
237,4809.83
238,4785.93
239,4771.7
240,4761.43
241,4748.87
242,4730.18
243,4712.74
244,4698.02
245,4689.1
246,4681.19
247,4670.36
248,4655.29
249,4641.1
250,4625.3
251,4606.78
252,4591.89
253,4574.3
254,4555.36
255,4542.78
256,4535.45
257,4525.41
258,4513.23
259,4504.39
260,4498.83
261,4500.02
262,4504.02
263,4512.1
264,4531.11
265,4562.73
266,4609.08
267,4675.69
268,4770.68
269,4890.97
270,5027.4
271,5183.17
272,5359.91
273,5527.32
274,5654.16
275,5723.72
276,5723.16
277,5668.94
278,5585.5
279,5489.08
280,5357.98
281,5205.32
282,5038.93
283,4857.52
284,4673.78
285,4509.18
286,4373.05
287,4262.55
288,4169.57
289,4083.88
290,4007.73
291,3948.37
292,3900.96
293,3861.13
294,3826.62
295,3791.85
296,3760.63
297,3733.2
298,3708.19
299,3684.43
300,3664.91
301,3646.78
302,3629.38
303,3612.08
304,3592.7
305,3571.72
306,3552.77
307,3537.86
308,3522.92
309,3506.5
310,3491.52
311,3474.18
312,3460.76
313,3452.8
314,3444.8
315,3433.52
316,3420.24
317,3411.65
318,3405.16
319,3396.53
320,3385.92
321,3374.53
322,3364.4
323,3357.42
324,3353.54
325,3355.95
326,3362.86
327,3370.75
328,3382.47
329,3400.22
330,3423.08
331,3456.41
332,3506.63
333,3572.79
334,3643.81
335,3711.37
336,3773.59
337,3826.73
338,3863.06
339,3875.84
340,3862.57
341,3824.85
342,3768.59
343,3700.34
344,3624.77
345,3543.83
346,3464.02
347,3393.41
348,3328.95
349,3276.09
350,3232.66
351,3193.2
352,3156.95
353,3123.81
354,3093.81
355,3065.86
356,3041.03
357,3021.27
358,3001.13
359,2979.49
360,2958.06
361,2941.19
362,2927.41
363,2914.37
364,2902.31
365,2891.57
366,2879.38
367,2864.33
368,2848.21
369,2832.54
370,2818.48
371,2804.39
372,2791.15
373,2777.95
374,2766.59
375,2755.55
376,2742.73
377,2735.51
378,2732.16
379,2729.82
380,2730.36
381,2737.65
382,2753.62
383,2774.27
384,2799.59
385,2832.4
386,2871.55
387,2910.74
388,2942.49
389,2961.69
390,2966.15
391,2954.86
392,2928.39
393,2888.8
394,2837.58
395,2776.61
396,2702.56
397,2635.74
398,2577.16
399,2520.38
400,2466.52
401,2418.37
402,2375.63
403,2340.96
404,2312.51
405,2284.31
406,2256.3
407,2230.91
408,2205.16
409,2180.73
410,2158.1
411,2138.25
412,2118.01
413,2096.59
414,2077.06
415,2060.67
416,2049.94
417,2037
418,2017.27
419,1999.78
420,1987.28
