r.px, i
0,11.3663
1,10.6084
2,10.9652
3,10.9605
4,12.5259
5,13.4395
6,15.0581
7,15.4649
8,16.506
9,16.5492
10,16.5188
11,16.2486
12,16.5425
13,16.909
14,16.4713
15,16.1801
16,16.088
17,16.3991
18,16.9771
19,17.3089
20,16.5181
21,15.5117
22,15.1289
23,15.4128
24,15.9626
25,16.266
26,17.0787
27,17.7697
28,17.7954
29,17.7205
30,18.06
31,18.6472
32,18.8925
33,19.0009
34,19.4008
35,19.7574
36,19.8891
37,20.1779
38,20.6528
39,20.9483
40,21.4764
41,22.2385
42,23.048
43,24.1367
44,25.2405
45,26.3562
46,27.6673
47,29.6224
48,31.4811
49,32.5978
50,33.9427
51,35.768
52,37.6183
53,39.7561
54,42.9445
55,46.1062
56,49.1931
57,52.961
58,57.8271
59,63.6909
60,70.5728
61,79.5787
62,93.002
63,114.684
64,149.555
65,207.694
66,307.178
67,475.052
68,753.606
69,1211.97
70,1937.12
71,2974
72,4167.08
73,5227.86
74,6052.98
75,6710.38
76,7277.09
77,7792.62
78,8243.02
79,8641.32
80,9038.55
81,9478.17
82,9947.25
83,10348.6
84,10701
85,11013.3
86,11297.5
87,11542.1
88,11750.2
89,11920.9
90,12047.8
91,12143.3
92,12214.9
93,12282.5
94,12335.4
95,12353.4
96,12359.5
97,12385.4
98,12443.3
99,12567
100,12805.3
101,13194.7
102,13713.9
103,14308.7
104,14913.7
105,15456.9
106,15899.7
107,16268
108,16563.9
109,16789.5
110,16968.3
111,17117.5
112,17236.4
113,17315.1
114,17360
115,17387.9
116,17399
117,17406.1
118,17409.5
119,17405.3
120,17390.5
121,17357.5
122,17302.1
123,17239.1
124,17184.4
125,17135.2
126,17076.7
127,17008
128,16937.3
129,16874.2
130,16813.1
131,16743.3
132,16659.2
133,16574.8
134,16488.3
135,16401
136,16313.8
137,16220.1
138,16117
139,16020.6
140,15932.6
141,15851
142,15758.1
143,15664.1
144,15573.2
145,15470.9
146,15365.1
147,15269.4
148,15181.5
149,15087.3
150,14996
151,14898.3
152,14800.3
153,14700.3
154,14602.9
155,14512.6
156,14425.8
157,14347.1
158,14270.7
159,14194.8
160,14115.9
161,14037.2
162,13964.3
163,13893.6
164,13820.9
165,13744.2
166,13664.4
167,13578.9
168,13488.5
169,13404.2
170,13323.6
171,13243.9
172,13159.5
173,13084
174,13023.4
175,12965
176,12911.9
177,12868.3
178,12827.6
179,12793.2
180,12764.7
181,12744.7
182,12727.6
183,12729.3
184,12753.2
185,12780.9
