r.px, i
0,3.15309
1,5.86934
2,5.32924
3,4.02591
4,3.2754
5,4.66426
6,6.45462
7,6.53863
8,6.19156
9,5.60057
10,5.17471
11,5.34884
12,5.2837
13,5.17399
14,5.65074
15,6.16839
16,6.60838
17,6.15312
18,5.52043
19,5.05337
20,4.72422
21,4.63795
22,4.91767
23,5.15021
24,5.36711
25,5.8655
26,6.49156
27,6.68346
28,6.61361
29,6.30757
30,6.02455
31,5.99625
32,6.15527
33,5.84029
34,6.15099
35,6.41606
36,6.50945
37,6.53858
38,6.71339
39,6.84376
40,7.01082
41,6.96123
42,7.06429
43,7.6342
44,8.05098
45,8.19419
46,8.37572
47,8.77895
48,9.05301
49,9.14056
50,9.27669
51,9.35804
52,9.83781
53,10.5461
54,10.9879
55,11.41
56,11.9188
57,12.5941
58,13.4291
59,14.1524
60,14.5873
61,15.2
62,15.9015
63,16.8367
64,17.8428
65,18.9447
66,20.398
67,21.9146
68,23.6501
69,25.4606
70,27.1159
71,29.0474
72,31.5554
73,34.4799
74,37.9541
75,42.4755
76,48.8002
77,57.333
78,69.7756
79,90.4065
80,126.725
81,189.899
82,297.378
83,480.075
84,769.968
85,1186.56
86,1722.75
87,2333.28
88,2952.79
89,3523.79
90,4016.73
91,4436.58
92,4812.87
93,5166.95
94,5522.04
95,5921.8
96,6403.64
97,6976.23
98,7614.56
99,8253.46
100,8842.16
101,9362
102,9804.68
103,10187
104,10516.8
105,10798.4
106,11029.5
107,11214.5
108,11368.9
109,11503.8
110,11629
111,11726.6
112,11801.1
113,11866.7
114,11921.4
115,11958.3
116,11990.8
117,12018.5
118,12039.9
119,12051.7
120,12055.1
121,12055.9
122,12049.6
123,12035.4
124,12014.7
125,11992.8
126,11966.7
127,11929.8
128,11887.5
129,11834.2
130,11786.7
131,11749.4
132,11714
133,11670.6
134,11618.1
135,11570.9
136,11520.7
137,11475
138,11427.5
139,11371.8
140,11316.6
141,11266.5
142,11207.1
143,11131.6
144,11054.8
145,10987.6
146,10922.2
147,10857
148,10795.9
149,10735.5
150,10680.2
151,10621.6
152,10560
153,10498.4
154,10438.3
155,10375.8
156,10298.1
157,10227.2
158,10168
159,10110.2
160,10045.1
161,9980.75
162,9915.9
163,9855
164,9800.59
165,9743.5
166,9692.28
167,9636.7
168,9575.01
