d(A),Int,h,k,l
4.03,12,0,0,1
3.99,25,1,0,0
2.838,100,1,0,1
2.825,100,1,1,0
2.314,46,1,1,1
2.019,12,0,0,2
1.997,37,2,0,0
1.802,6,1,0,2
1.790,8,2,0,1
1.786,7,2,1,0
1.642,15,1,1,2
1.634,35,2,1,1
1.419,12,2,0,2
1.412,10,2,2,0
1.337,5,2,1,2
1.332,2,3,0,0
1.275,5,1,0,3
1.264,7,3,0,1
1.263,9,3,1,0
1.214,3,1,1,3
1.205,5,3,1,1
1.156,7,2,2,2
1.119,1,2,0,3
1.116,1,3,0,2
1.108,1,3,2,0
1.074,7,2,1,3
1.070,12,3,1,2
1.067,12,3,2,1
1.009,1,0,0,4
0.9984,2,4,0,0
0.9784,1,1,0,4
0.9742,1,2,2,3
0.971,1,3,2,2
0.9686,1,4,1,0
0.9506,3,1,1,4
0.9465,1,3,0,3
0.9419,5,4,1,1
0.9208,2,3,1,3
0.9166,2,3,3,1
0.9010,3,2,0,4
