d(A),Int,h,k,l
6.9892,2,0,0,2
4.6744,2,1,0,1
4.0428,9,1,0,2
3.4919,1,0,0,4
3.3936,26,1,0,3
2.8632,100,1,1,0
2.8553,91,1,0,4
2.6489,1,1,1,2
2.4408,6,2,0,1
2.4336,4,1,0,5
2.3365,16,2,0,2
2.3289,15,0,0,6
2.2136,3,1,1,4
2.1882,22,2,0,3
2.1072,1,1,0,6
2.0214,33,2,0,4
1.8539,13,2,0,5
1.8513,10,1,0,7
1.8101,5,2,1,2
1.8060,8,1,1,6
1.7466,2,0,0,8
1.7389,8,2,1,3
1.6513,32,2,1,4
1.6470,29,1,0,8
1.5543,9,2,0,7
1.4941,1,3,0,4
1.4907,6,1,1,8
1.4812,3,1,0,9
1.4595,1,2,1,6
1.4312,15,2,2,0
1.4276,12,2,0,8
1.3686,3,3,1,1
1.3658,8,2,1,7
1.3494,4,3,1,2
1.3475,4,3,0,6
1.3442,4,1,0,10
1.3242,1,2,2,4
1.3188,5,3,1,3
1.3154,6,2,0,9
1.2792,11,3,1,4
1.2772,5,2,1,8
1.2552,1,1,1,10
1.2339,1,3,1,5
1.2301,2,1,0,11
1.2190,6,2,2,6
1.2002,2,3,0,8
1.1977,4,4,0,3
1.1952,4,2,1,9
1.1680,4,4,0,4
1.1638,2,0,0,12
1.1322,3,3,1,7
1.1301,2,2,0,11
1.1225,1,3,2,2
1.1197,3,2,1,10
1.1067,1,2,2,8
1.1049,3,3,2,3
1.0815,12,3,2,4
1.0781,4,1,1,12
1.0691,1,4,1,2
1.0666,1,3,0,10
1.0528,3,4,0,7
1.0511,3,2,1,11
1.0500,3,1,0,13
1.0333,1,4,1,4
1.0292,2,3,1,9
1.0106,1,4,0,8
0.9996,1,2,2,10
0.9881,2,3,2,7
0.9857,3,2,0,13
0.9811,3,4,1,6
0.9798,1,3,1,10
0.9698,1,5,0,3
0.9684,1,4,0,9
0.9539,4,5,0,4
0.9530,1,3,2,8
0.9516,4,3,0,12
0.9420,1,1,1,14
0.9348,1,4,2,1
0.9329,3,3,1,11
0.9321,3,2,1,13
0.9286,1,4,2,2
0.9271,1,4,0,10
0.9196,3,4,1,8
0.9185,3,4,2,3
0.9174,3,3,2,9
0.9049,5,4,2,4
0.9031,5,2,2,12
